Id_comercio,Fecha de creacion comercio,Fecha 1ra_transaccion,Categoria comercio,Sub Categoria comercio,Ciudad,cant_terminales,Monto ventas Acumulado,Monto ventas ultimo mes,meses_antiguedad_creacion_comercio,meses_antiguedad_transacciones,transacciones_6m,meses_activos,ultima_actividad,transacciones_ultimo_mes,transacciones_por_mes_activo,recencia,M_score,F_score,R_score,RFM_score,segmento_rfm
003QDVFJCJ,2021-03-26 12:17:00,2021-03-26 12:42:00,Comercio detallista,Ropa / Accesorios,Bogotá  D.C.,1,6542000,1240000,2,2.0,30,3,2021-05-01,16,10.0,0,5,5,5,5.0,Alto valor
008LJH6YHN,2021-02-10 15:15:00,2021-02-10 15:34:00,Belleza y cuidado personal,Spa,Bogotá  D.C.,1,4380000,1102000,3,3.0,10,4,2021-05-01,2,2.5,0,4,3,5,4.0,Estándar
00B3DGV62G,2021-03-03 15:09:00,2021-03-03 15:30:00,Comercio detallista,Auto partes,Bogotá  D.C.,1,11892500,1297000,2,2.0,65,3,2021-05-01,21,21.666666666666668,0,5,5,5,5.0,Alto valor
00ILW1BB3Y,2021-03-24 12:33:00,2021-03-24 12:51:00,Comercio detallista,Tienda naturista,Bogotá  D.C.,1,372500,74500,2,2.0,8,3,2021-05-01,5,2.6666666666666665,0,2,3,5,3.3333333333333335,Estándar
01AK7UX4UU,2021-03-30 13:40:00,2021-03-30 13:52:00,Comercio detallista,Tecnología,Mosquera,1,165500,0,2,2.0,4,2,2021-04-01,0,2.0,1,2,2,4,2.6666666666666665,Nuevos o bajo desarrollo
01OB36KP84,2020-12-10 14:23:00,2020-12-10 19:57:00,Alimentos y bebidas,Restaurante / Café,Bogotá  D.C.,1,104000,25500,5,5.0,4,2,2021-05-01,1,2.0,0,1,2,5,2.6666666666666665,Nuevos o bajo desarrollo
01PFUX10Z9,2021-03-29 19:22:00,2021-03-29 20:00:00,Alimentos y bebidas,Comida rápida,Bogotá  D.C.,1,1104380,208250,2,2.0,51,3,2021-05-01,22,17.0,0,3,5,5,4.333333333333333,Estándar
024EE2F9LX,2021-03-01 13:16:00,2021-03-01 13:27:00,Comercio detallista,Auto partes,Soacha,1,2000,0,2,2.0,1,1,2021-03-01,0,1.0,2,1,1,3,1.6666666666666667,Estándar
0254G0047E,2021-03-24 13:27:00,2021-03-24 13:43:00,Comercio detallista,Óptica,Bogotá  D.C.,1,2265000,0,2,2.0,8,3,2021-05-01,2,2.6666666666666665,0,3,3,5,3.6666666666666665,Estándar
0355B2ZSMZ,2021-03-27 16:50:00,2021-03-27 17:00:00,Alimentos y bebidas,Restaurante / Café,Suaita,1,1610100,270100,2,2.0,18,3,2021-05-01,6,6.0,0,3,4,5,4.0,Estándar
04J2LSELVY,2021-03-04 15:02:00,2021-03-04 16:08:00,Transporte,Taxi,Cali,1,596000,60000,2,2.0,6,2,2021-04-01,0,3.0,1,2,2,4,2.6666666666666665,Nuevos o bajo desarrollo
04MFYD9KBY,2021-03-23 08:59:00,2021-03-23 09:11:00,Comercio detallista,Electrodomésticos,Bogotá  D.C.,1,1632300,0,2,2.0,4,3,2021-05-01,1,1.3333333333333333,0,3,2,5,3.3333333333333335,Estándar
058CLYFL10,2021-02-08 14:16:00,2021-02-08 14:40:00,Servicios,Otro,Bogotá  D.C.,1,464000,0,3,3.0,7,3,2021-05-01,2,2.3333333333333335,0,2,2,5,3.0,Nuevos o bajo desarrollo
05LBQA2VIO,2021-03-09 11:12:00,2021-03-09 11:24:00,Servicios,Logística,Bogotá  D.C.,1,3041500,571000,2,2.0,9,3,2021-05-01,3,3.0,0,4,3,5,4.0,Estándar
06QX4IFQGD,2021-03-04 13:17:00,2021-03-04 13:50:00,Transporte,Taxi,Cali,1,1000,0,2,2.0,1,1,2021-03-01,0,1.0,2,1,1,3,1.6666666666666667,Estándar
0773NFXBJD,2021-02-09 15:01:00,2021-02-09 15:10:00,Comercio detallista,Ropa / Accesorios,Soacha,1,2000,0,3,3.0,1,1,2021-02-01,0,1.0,3,1,1,2,1.3333333333333333,Baja actividad
08GD0QW9SY,2021-02-02 12:05:00,2021-02-02 12:22:00,Servicios,Otro,Bogotá  D.C.,1,85000,0,3,3.0,2,1,2021-02-01,0,2.0,3,1,1,2,1.3333333333333333,Baja actividad
08QOL1S7YA,2021-03-27 17:31:00,2021-03-27 17:46:00,Reparación y limpieza,Lavandería,Bogotá  D.C.,1,2000,0,2,2.0,1,1,2021-03-01,0,1.0,2,1,1,3,1.6666666666666667,Estándar
08UFNI3X2R,2021-03-19 11:49:00,2021-03-19 11:57:00,Comercio detallista,Electrodomésticos,Bogotá  D.C.,1,526000,525000,2,2.0,1,1,2021-03-01,0,1.0,2,2,1,3,2.0,Estándar
097LK3OZHR,2021-02-19 17:29:00,2021-02-19 17:34:00,Comercio detallista,Óptica,Bogotá  D.C.,1,3050000,0,3,3.0,12,4,2021-05-01,4,3.0,0,4,3,5,4.0,Estándar
